ID,Data,Dia,Horario,Fuso,Canal,Formato,Pilar,Titulo,Objetivo_CTA,Publico,Funil,CTA,KPI,Arquivo_arte,Status,Dependencia,Responsavel,Janela
PUB-S07,29/07/2026,Quarta-feira,19:00,America/Sao_Paulo,Story,Story 9:16,Quanto Sobra,Quanto sobra: mito x fato,Fale com a SE7EN PAY,Audiência,Consideração,Fale com a SE7EN PAY,Saves,src/PUB-S07/assets/PUB-S07_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S09,30/07/2026,Quinta-feira,08:30,America/Sao_Paulo,Story,Story 9:16,Margem Programável,Enquete: você conhece o vocabulário?,Veja o glossário,Audiência,Consideração,Veja o glossário,Saves,src/PUB-S09/assets/PUB-S09_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-002,30/07/2026,Quinta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Infraestrutura,"Infraestrutura de monetização, explicada",Conheça a SE7EN PAY,Prospects,Descoberta,Conheça a SE7EN PAY,Alcance,src/PUB-002/assets/PUB-002_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-R02,31/07/2026,Sexta-feira,19:00,America/Sao_Paulo,Reel,Reel 9:16,Margem Programável,Take rate em 40 segundos,Assista,Audiência,Descoberta,Assista,Alcance,src/PUB-R02/assets/PUB-R02_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S04,01/08/2026,Sábado,08:30,America/Sao_Paulo,Story,Story 9:16,Margem Programável,Quiz: o que é markup?,Salve o glossário,Audiência,Consideração,Salve o glossário,Saves,src/PUB-S04/assets/PUB-S04_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-009,01/08/2026,Sábado,12:30,America/Sao_Paulo,Feed,Estático 4:5,Margem Programável,"Take rate, o termômetro",Acompanhe o seu take rate,LA/EC,Consideração,Acompanhe o seu take rate,Saves,src/PUB-009/assets/PUB-009_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-014,02/08/2026,Domingo,19:00,America/Sao_Paulo,Feed,Estático 4:5,Gente SE7EN,Pessoas no centro de tudo,Conheça a SE7EN PAY,Comunidade,Relacionamento,Conheça a SE7EN PAY,Interações,src/PUB-014/assets/PUB-014_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S10,03/08/2026,Segunda-feira,08:30,America/Sao_Paulo,Story,Story 9:16,Gente SE7EN,Bastidor: um dia na operação,Acompanhe,Audiência,Relacionamento,Acompanhe,Interações,src/PUB-S10/assets/PUB-S10_p01_story.jpg,Pronto (arte) · foto recomendada,Foto/vídeo oficial de bastidor,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-007,05/08/2026,Quarta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Margem Programável,O que é margem programável,Aprenda como funciona,LA,Consideração,Aprenda como funciona,Saves,src/PUB-007/assets/PUB-007_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S12,05/08/2026,Quarta-feira,19:00,America/Sao_Paulo,Story,Story 9:16,Margem Programável,Educação: o que é arranjo?,Salve o glossário,Audiência,Consideração,Salve o glossário,Saves,src/PUB-S12/assets/PUB-S12_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S08,06/08/2026,Quinta-feira,08:30,America/Sao_Paulo,Story,Story 9:16,Relacionamento,Fale com a SE7EN,Fale com a SE7EN PAY,Audiência,Decisão,Fale com a SE7EN PAY,Cliques/leads,src/PUB-S08/assets/PUB-S08_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-008,06/08/2026,Quinta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,O Licenciado,O que é uma carteira de ECs,Fale sobre licenciamento,LA potencial,Consideração,Fale sobre licenciamento,Saves,src/PUB-008/assets/PUB-008_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-R01,07/08/2026,Sexta-feira,19:00,America/Sao_Paulo,Reel,Reel 9:16,Quanto Sobra,Mito x fato: margem operacional,Assista,Audiência,Descoberta,Assista,Alcance,src/PUB-R01/assets/PUB-R01_p01_story.jpg,Pronto (capa+storyboard) · gravação pendente,Gravação/foto oficial,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-010,08/08/2026,Sábado,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Quanto Sobra,3 perguntas antes de escolher sua captura,Fale com a SE7EN PAY,EC,Consideração,Fale com a SE7EN PAY,Saves,src/PUB-010/assets/PUB-010_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S05,09/08/2026,Domingo,08:30,America/Sao_Paulo,Story,Story 9:16,Confiança & Segurança,3 sinais de golpe,Salve e compartilhe,Audiência,Confiança,Salve e compartilhe,Saves,src/PUB-S05/assets/PUB-S05_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-015,09/08/2026,Domingo,19:00,America/Sao_Paulo,Feed,Estático 4:5,Confiança & Segurança,Como a SE7EN fala com você,Salve este aviso,EC/LA,Confiança,Salve este aviso,Saves,src/PUB-015/assets/PUB-015_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-R06,10/08/2026,Segunda-feira,12:30,America/Sao_Paulo,Reel,Reel 9:16,Margem Programável,"Glossário rápido: EC, LA, TPV",Assista,Audiência,Descoberta,Assista,Alcance,src/PUB-R06/assets/PUB-R06_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-006,12/08/2026,Quarta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Margem Programável,Glossário SE7EN parte 2,Salve o glossário completo,LAs,Consideração,Salve o glossário completo,Saves,src/PUB-006/assets/PUB-006_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-011,13/08/2026,Quinta-feira,12:30,America/Sao_Paulo,Feed,Estático 4:5,Confiança & Segurança,Operação em tempo real,Saiba mais,EC/LA,Consideração,Saiba mais,Saves,src/PUB-011/assets/PUB-011_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-R04,14/08/2026,Sexta-feira,19:00,America/Sao_Paulo,Reel,Reel 9:16,Confiança & Segurança,3 sinais de golpe,Assista,Audiência,Descoberta,Assista,Alcance,src/PUB-R04/assets/PUB-R04_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-012,15/08/2026,Sábado,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Infraestrutura,O que significa escalar,Conheça a SE7EN PAY,LA/Mercado,Descoberta,Conheça a SE7EN PAY,Alcance,src/PUB-012/assets/PUB-012_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-013,16/08/2026,Domingo,19:00,America/Sao_Paulo,Feed,Carrossel 4:5,O Licenciado,Ser Licenciado é operar com método,Fale sobre licenciamento,LA,Consideração,Fale sobre licenciamento,Saves,src/PUB-013/assets/PUB-013_p01_v45.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-R05,17/08/2026,Segunda-feira,12:30,America/Sao_Paulo,Reel,Reel 9:16,Gente SE7EN,Quem opera a SE7EN,Assista,Audiência,Descoberta,Assista,Alcance,src/PUB-R05/assets/PUB-R05_p01_story.jpg,Pronto (capa+storyboard) · gravação pendente,Gravação/foto oficial,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-S05,19/08/2026,Quarta-feira,08:30,America/Sao_Paulo,Story,Story 9:16,Confiança & Segurança,3 sinais de golpe,Salve e compartilhe,Audiência,Confiança,Salve e compartilhe,Saves,src/PUB-S05/assets/PUB-S05_p01_story.jpg,Pronto,-,Social/Design,RECOMMENDED_INITIAL_TEST_WINDOW
PUB-016,21/08/2026,Sexta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Quanto Sobra,Você olha a taxa. Ela olha a margem operacional,Peça um diagnóstico de margem,EC,Consideração,Peça um diagnóstico de margem,Saves,src/PUB-016/assets/PUB-016_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
PUB-017,23/08/2026,Domingo,12:30,America/Sao_Paulo,Feed,Estático 4:5,Quanto Sobra,O custo que não aparece na taxa,Fale com a SE7EN PAY,EC,Descoberta,Fale com a SE7EN PAY,Alcance,src/PUB-017/assets/PUB-017_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
PUB-018,25/08/2026,Terça-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Quanto Sobra,Quanto sobra no fim do mês (exemplo hipotético),Comente CÁLCULO,EC/LA,Consideração,Comente CÁLCULO,Saves,src/PUB-018/assets/PUB-018_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
PUB-019,27/08/2026,Quinta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Margem Programável,Para onde vai cada centavo de uma venda,Aprenda como funciona,LA/EC,Descoberta,Aprenda como funciona,Saves,src/PUB-019/assets/PUB-019_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
PUB-020,29/08/2026,Sábado,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,O Licenciado,Opere pagamentos com a sua marca,Fale sobre licenciamento,LA,Consideração,Fale sobre licenciamento,Leads,src/PUB-020/assets/PUB-020_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
PUB-021,31/08/2026,Segunda-feira,12:30,America/Sao_Paulo,Feed,Estático 4:5,Infraestrutura,A SE7EN PAY não vende tecnologia,Conheça a SE7EN PAY,Mercado,Descoberta,Conheça a SE7EN PAY,Alcance,src/PUB-021/assets/PUB-021_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
PUB-022,02/09/2026,Quarta-feira,12:30,America/Sao_Paulo,Feed,Carrossel 4:5,Quanto Sobra,Reforma tributária e a sua margem,Comente REFORMA,EC/LA,Descoberta,Comente REFORMA,Saves,src/PUB-022/assets/PUB-022_p01_v45.jpg,Pronto,-,Social/Design,REF_LIBBERPAY_BATCH
